,text,retweet,likes
0,RT : In fuga dalla guerra con le chiavi di casa e il portachiavi dell' Europa. La foto più simbolica e devastante di tutte,6,0
1,mezzorainpiu perché non fate vedere le manifestazioni a favore di Putin in Grecia e in altri Paesi? La giornalaia USA sta sputando veleno contro Putin da una TV del servizio pubblico SENZA CONTRADDITTORIO FERMATE Annunziata è abuso della credulità popolare https: t.co 1JP16goKCX,0,0
2,RT : Bucha. Noi stiamo col popolo . Noi stiamo contro la barbarie della guerra di Putin. https: t.co EKOCpbySQs,345,0
3,"Di fronte alle immagini di Bucha, indignazione e solidarietà non sono più sufficienti: embargo totale, anche del gas, russo. Non possiamo essere in nessun modo corresponsabili dell'invasione dell Ucraina, non possiamo più in alcun modo finanziare Putin. PutinWarCrimes https: t.co R4FnGzCv6t",0,0
4,"RT : La guerra non era ineluttabile, è voluta da un autocrate che ha un nome e un cognome, quindi non dovrebbe tacere prima di",13,0
5,"RT : C è solo una cosa che mi provoca più disgusto delle immagini di Bucha: sono i tweet di giornalisti, accademici e polit",264,0
7,RT : tutto grazie a gente o incompetente I palesemente a libro paga. Il partito di putin in italia è ospite fisso nei ta,69,0
8,RT : Le immagini che arrivano da Bucha sono sconvolgenti. Un massacro di civili agghiacciante. La guerra di Putin sta toc,15,0
9,"RT : Bucha Le prime reazioni russe sono di Tsargrad, la TV di Malofeev, quel covo di razzisti, antiscienza, omofobi amici di S",19,0
11,"Per molti sovranisti di destra Vladimir Putin è stato esplicitamente un faro. Si possono e debbono avere rapporti decenti, diplomatici con questo tipo di leader, ma non relazioni amicali e meno che mai esibire entusiastica ammirazione di ArieteRosso https: t.co HVPUws3huI",0,0
12,"RT : Civili assassinati. Le mani legate dietro la schiena, e i loro corpi abbandonati nelle strade. Di fronte alle immagini di",37,0
13,"Zelensky sei solo un pivello e pure carnefice, stai facendo morire la povera gente per i tuoi interessi, per non trattare, Putin è un criminale ma tu non sei da meno, stai seduto, detti leggi e fai morire tutti i ragazzi e padri di famiglia e dici che non ti arrendi, tratta.",0,0
15,RT : Di fronte a Bucha bisognerà chiedersi a ogni momento se chi in Italia parla di Putin in termini di ma la NATO o e,462,0
16,"RT : Bellissime parole. Che diventano slogan vuoti davanti a bambini usati come scudi umani, fosse comuni e crimini dì guerra. Ora",8,0
17,"RT : In tutto questo bailamme di neoesperti, nessuno che cita il massacro del teatro Dubrovka di Mosca (per eliminare le vedove c",103,0
18,"RT : Dopo avere visto le immagini provenienti da Bucha nessuno potrà dire ""Io non sapevo"". I crimini di Putin sono sotto",190,0
19,"RT : Non c è più spazio per alcuna forma di tolleranza nei confronti della Russia di Putin. Va fermato al più presto, perch",1,0
20,"RT : Ricapitolando: Governo e Pd ci ricordano ogni giorno che affrancarci dal criminale Putin è morale , stiamo",118,0
21,"RT : Peskov: ""chi lascia il Paese perché spaventato da sanzioni e guerra non è nostro nemico"" 47 mln di persone senza acqua ca",19,0
23,RT : No so quando torneremo a votare. E alle urne avrò non pochi imbarazzi. Ma spero di vedere il Camera,86,0
28,"Le storielle con fonte russa dicevano ""i russi non toccano i civili"". Massacro a Bucha di gente inerme da parte delle forze militari di Putin il macellaio! https: t.co CH6DUa9Gir",0,0
29,RT : L orrore di Bucha fa comprendere la strategia criminale di Putin in Ucraina. Siamo accanto al popolo ucraino e determinati a,6,0
30,"RT : Biden non è stato diplomatico ma DioSanto quanto aveva ragione! Putin è un macellaio, dittatore sanguinario. Ai posteri so",1,0
35,Un altra guerrafondaia ... lo sappiamo che è un macellaio Putin ....a voi tocca e avete il dovere di trovare e cercare la pace ... negoziati ... basta armi che portano solo a una pericolosa escalation ...e basta davvero .. che p... Pd appiattito e ormai banale e ripetitivo ...,0,0
42,"RT : Non sapendo più come giustificare Putin dopo le immagini della macelleria di Bucha, se la prendono con chi le diffonde. Cos",304,0
49,"Una filo putiniana dell equidistanza mi suggerisce di prendere i guerrafondai per zappare la terra (lontani eh, sennò s azzuffano) e dargli la stessa quantità di pane. Geniale! Come abbiamo fatto a non pensarci prima? Putin sarà eccitato dall idea! Ucraina",0,0
55,"RT : Gli ungheresi sceglieranno chi li governa, perchè preoccuparsi? E' la democrazia di cui tanto ci vantiamo e ad",1,0
59,Bucha e la guerra di Putin... https: t.co W3sE7yIhjA,0,0
60,"Guerra in Ucraina Strage di civili a Bucha. Centinaia di corpi nelle fosse comuni: ""Atti orribili"". I dettagli https: t.co ErxK0eUU3i UkraineRussiaWar UkraineWar UkraineRussianWar Ukraine UkraineUnderAtta k Putin Ukrainian UkraineRussia Zelensky https: t.co XJRLQyUu2U",0,0
66,"Esiste una manica di coglioni in questo paese,un gruppo nutrito di deficienti Novax e filo Putin che riescono a negare e a mettere in discussione anche la strage di Bucha perpetrata da quelle bestie dei russi e guidati da quel criminale infame di Putin ! Che siate maledetti",0,2
68,"Anno 2019, il filosofo del nulla Diego Fusaro a pranzo con il faccendiere leghista Gianluca Savoini e l'ideologo di Putin: Aleksandr Dugin. ""Contro il Leviatano imperialismo del dollaro e per la libera sovranità dei popoli"". Non per la sovranità dell' Ucraina, evidentemente. https: t.co KocPxwFUu8",1,2
72,"RT : Cittadini ucraini giustiziati a sangue freddo, e i loro corpi abbandonati per le strade di Bucha. Questo orrore è ope",2,0
75,"RT : Alla luce dei crimini di guerra di Putin e le FA in Ucraina, non accetto più che il mio governo Chigi",17,0
77,"RT : Guardate questo video solo se vi sentite pronti, perché non lo dimenticherete. Questa è la sporca guerra che Putin ha",47,0
82,"RT : Carla del Ponte, nota per le sue indagini sui crimini di guerra in Ruanda e nell'ex Jugoslavia, ha una posizione netta sul pr",37,0
83,Le mie considerazioni su putin ? Io: https: t.co PeWPUt3lZb,0,0
87,"Se per voi la PACE non e' piu' un valore, siete voi che ve ne andate all'inferno. Voi siete la CAUSA della guerra di Piero, e della sua morte , come di quella dei bambini in Ucraina. MERDE schiavi di Putin e NATO. Da una parte e dall'altra. MERDE! https: t.co GO5GfwR2E5",0,1
89,RT : Vivo in un Paese dove il 22% vorrebbe un regime diverso da quello democratico. Quasi il 50% vorrebbe un uomo forte al go,66,0
91,"Il 23 Febbraio, come al solito, ho sentito diverse volte 4 colleghi ucraini su Google Meet. Come al solito, non ci limitavamo a parlare solo di lavoro. Tra le altre cose, da settimane ormai toccavamo l'argomento "" Putin"".",0,0
